"route_id","path","primary_navigation_link","what_employee_needs_now","next_action","on_demand_details","copy_inventory_source"
"RT-DOC-003","/documents/[documentId]","No primary-nav item; use contextual link/direct route","Controlled documents","Document identity, owner, and effective version","Search/open the document; review/edit only when permitted","Version history, captured snapshot, and approval trail","Documents copy inventory; uxVocabulary lifecycle/errors"
"RT-DOC-004","/documents/[documentId]/versions/new","No primary-nav item; use contextual link/direct route","Controlled documents","Document identity, owner, and effective version","Search/open the document; review/edit only when permitted","Version history, captured snapshot, and approval trail","Documents copy inventory; uxVocabulary lifecycle/errors"
"RT-DOC-005","/documents/[documentId]/versions/[versionId]","No primary-nav item; use contextual link/direct route","Controlled documents","Document identity, owner, and effective version","Search/open the document; review/edit only when permitted","Version history, captured snapshot, and approval trail","Documents copy inventory; uxVocabulary lifecycle/errors"
"RT-DOC-006","/documents/[documentId]/versions/[versionId]/review","No primary-nav item; use contextual link/direct route","Controlled documents","Document identity, owner, and effective version","Search/open the document; review/edit only when permitted","Version history, captured snapshot, and approval trail","Documents copy inventory; uxVocabulary lifecycle/errors"
"RT-APPROVAL-001","/approvals","Governance / My approval queue","Approvals","Assigned approval item, stage, and evidence awaiting review","Open and inspect the item; decide only when authorized","Requester, signature, stage, and SoD context","Approvals copy inventory; uxVocabulary lifecycle/errors"
"RT-APPROVAL-002","/approvals/[approvalId]","No primary-nav item; use contextual link/direct route","Approvals","Assigned approval item, stage, and evidence awaiting review","Open and inspect the item; decide only when authorized","Requester, signature, stage, and SoD context","Approvals copy inventory; uxVocabulary lifecycle/errors"
"RT-CHANGE-001","/change-requests","Governance / Change requests","Change requests","Request state, target, and review stage","Open the request; submit/review only when permitted","Captured snapshot and application outcome","Change requests copy inventory; uxVocabulary lifecycle/errors"
"RT-CHANGE-002","/change-requests/new","No primary-nav item; use contextual link/direct route","Change requests","Request state, target, and review stage","Open the request; submit/review only when permitted","Captured snapshot and application outcome","Change requests copy inventory; uxVocabulary lifecycle/errors"
"RT-CHANGE-003","/change-requests/[changeRequestId]","No primary-nav item; use contextual link/direct route","Change requests","Request state, target, and review stage","Open the request; submit/review only when permitted","Captured snapshot and application outcome","Change requests copy inventory; uxVocabulary lifecycle/errors"
"RT-CHANGE-004","/change-requests/[changeRequestId]/review","No primary-nav item; use contextual link/direct route","Change requests","Request state, target, and review stage","Open the request; submit/review only when permitted","Captured snapshot and application outcome","Change requests copy inventory; uxVocabulary lifecycle/errors"
"RT-REPORT-001","/reports","Insights / Reports","Reports","Available report, data source, and period","Open or export only after report authorization succeeds","Source coverage, filters, and freshness","Reports copy inventory; uxVocabulary states/errors"
"RT-REPORT-002","/reports/[reportCode]","No primary-nav item; use contextual link/direct route","Reports","Available report, data source, and period","Open or export only after report authorization succeeds","Source coverage, filters, and freshness","Reports copy inventory; uxVocabulary states/errors"
"RT-ADMIN-001","/admin","Administration / Administration","Admin","Available administration destination without exposing protected identity data","Open a destination; read/action requires its explicit authorization","Member, grant, security, and audit details only when permitted","Admin copy inventory; uxVocabulary states/errors"
"RT-USER-001","/admin/users","Administration / Users","Admin","Available administration destination without exposing protected identity data","Open a destination; read/action requires its explicit authorization","Member, grant, security, and audit details only when permitted","Admin copy inventory; uxVocabulary states/errors"
"RT-USER-002","/admin/users/new","No primary-nav item; use contextual link/direct route","Admin","Available administration destination without exposing protected identity data","Open a destination; read/action requires its explicit authorization","Member, grant, security, and audit details only when permitted","Admin copy inventory; uxVocabulary states/errors"
"RT-USER-003","/admin/users/[userId]","No primary-nav item; use contextual link/direct route","Admin","Available administration destination without exposing protected identity data","Open a destination; read/action requires its explicit authorization","Member, grant, security, and audit details only when permitted","Admin copy inventory; uxVocabulary states/errors"
"RT-ROLE-001","/admin/roles","Administration / Roles","Admin","Available administration destination without exposing protected identity data","Open a destination; read/action requires its explicit authorization","Member, grant, security, and audit details only when permitted","Admin copy inventory; uxVocabulary states/errors"
"RT-ROLE-002","/admin/roles/[roleId]","No primary-nav item; use contextual link/direct route","Admin","Available administration destination without exposing protected identity data","Open a destination; read/action requires its explicit authorization","Member, grant, security, and audit details only when permitted","Admin copy inventory; uxVocabulary states/errors"
"RT-ADMIN-002","/admin/permissions","Administration / Permissions","Admin","Available administration destination without exposing protected identity data","Open a destination; read/action requires its explicit authorization","Member, grant, security, and audit details only when permitted","Admin copy inventory; uxVocabulary states/errors"
"RT-ADMIN-003","/admin/scopes","Administration / Scopes","Admin","Available administration destination without exposing protected identity data","Open a destination; read/action requires its explicit authorization","Member, grant, security, and audit details only when permitted","Admin copy inventory; uxVocabulary states/errors"
"RT-SYSTEM-001","/system/health","System / System health","System","For yazeed only: sanitized health, readiness, and current blocker","Follow the relevant recovery path; health view performs no QC action","Dependency/schema, release-evidence, and recovery detail","System copy inventory; uxVocabulary states/boundaries/errors"
"RT-SYSTEM-002","/system/control-center","System / Control center","System","For yazeed only: sanitized owner overview","Use a separately authorized control action","Protected account summary and audit details","System copy inventory; uxVocabulary states/errors"
"RT-BACKUP-001","/system/backups","System / Backup and recovery","System","Backup catalog and current verification status","Open a backup; request restore only through the authorized isolated-target flow","Manifest and recovery evidence","System copy inventory; uxVocabulary boundaries/states/errors"
"RT-BACKUP-002","/system/backups/[backupId]","No primary-nav item; use contextual link/direct route","System","Backup catalog and current verification status","Open a backup; request restore only through the authorized isolated-target flow","Manifest and recovery evidence","System copy inventory; uxVocabulary boundaries/states/errors"
"RT-BACKUP-003","/system/backups/[backupId]/restore","No primary-nav item; use contextual link/direct route","System","Backup catalog and current verification status","Open a backup; request restore only through the authorized isolated-target flow","Manifest and recovery evidence","System copy inventory; uxVocabulary boundaries/states/errors"
"RT-REJ-001","/reject-reports","Quality / Reject Reports","Reject reports","Reject report identity, current status, and source record","Open or filter the report; issue/export only when authorized","Issue-slip evidence and aggregate source/period","Reject reports copy inventory; uxVocabulary states/errors"
"RT-REJ-002","/reject-reports/new","No primary-nav item; use contextual link/direct route","Reject reports","Reject report identity, current status, and source record","Open or filter the report; issue/export only when authorized","Issue-slip evidence and aggregate source/period","Reject reports copy inventory; uxVocabulary states/errors"
"RT-REJ-003","/reject-reports/issue-slips/[reportId]","No primary-nav item; use contextual link/direct route","Reject reports","Reject report identity, current status, and source record","Open or filter the report; issue/export only when authorized","Issue-slip evidence and aggregate source/period","Reject reports copy inventory; uxVocabulary states/errors"
"RT-REJ-004","/reject-reports/daily/[reportId]","No primary-nav item; use contextual link/direct route","Reject reports","Reject report identity, current status, and source record","Open or filter the report; issue/export only when authorized","Issue-slip evidence and aggregate source/period","Reject reports copy inventory; uxVocabulary states/errors"
"RT-AI-001","/ai-advisory","Insights / AI advisory","AI advisory","Advisory status and source limitations","Use as reference only; never as a controlled QC decision","Source references and processing status","AI advisory copy inventory; uxVocabulary boundaries/states/errors"
"RT-SHARED-001","/search","System / Search","Search","Records the account is allowed to find","Open a matching record","Authorized scope and source details","Search copy inventory; uxVocabulary states/errors"
"RT-SHARED-002","/notifications","System / Notifications","Notifications","Recipient-scoped unread notice and linked work","Open the linked record; notice is not workflow completion","Delivery status and destination","Notifications copy inventory; uxVocabulary states/errors"
"RT-SHARED-003","/account","System / Account settings","Account","Own account details and current status","Save only an authorized account change","Validation and session result","Account copy inventory; uxVocabulary states/errors"
"RT-SHARED-004","/audit","System / Audit history","Audit","Recorded event, actor, transition, and source record","Open the source record or apply filters","Event mapping, filters, and history","Audit copy inventory; uxVocabulary states/errors"
"RT-HELP-001","/help","System / Operating guides","Help","Role-relevant task and support guidance","Open the linked workspace","Full procedure and support ownership when resolved","Help copy inventory; uxVocabulary.lifecycle/actions"
"RT-QUAR-003","/quarantine/admin/[templateId]","No primary-nav item; use contextual link/direct route","Templates","Controlled template identity, version, and state","Open a template; lifecycle action requires separate authority","Version and approved template context","Templates copy inventory; uxVocabulary states/errors"
"RT-DOC-007","/documents/[documentId]/versions/[versionId]/edit","No primary-nav item; use contextual link/direct route","Controlled documents","Document identity, owner, and effective version","Search/open the document; review/edit only when permitted","Version history, captured snapshot, and approval trail","Documents copy inventory; uxVocabulary lifecycle/errors"
"RT-REL-001","/governance/releases/[releaseId]","No primary-nav item; use contextual link/direct route","Governance","Candidate status and current evidence gaps","Open evidence; approval is a separate controlled action","Source SHA, migration, and verification details","Governance copy inventory; uxVocabulary lifecycle/states/errors"
